volume,low,high,open,close,time,Fast_MA,Medium_MA,Slow_MA,RSI
1.19296786,63255.99,63259.95,63281.48,63228.68,2024-04-16 00:55:00,63228.68,63228.68,63214.759999999995,0.0
12.46888923,63259.95,63252.32,63282.16,63217.57,2024-04-16 00:54:00,63223.125,63223.125,63214.759999999995,0.0
7.98695647,63250.01,63236.53,63276.0,63212.01,2024-04-16 00:53:00,63219.420000000006,63219.420000000006,63214.759999999995,0.0
11.52718834,63241.38,63250.28,63262.47,63219.13,2024-04-16 00:52:00,63219.3475,63219.3475,63214.759999999995,29.928541403939718
3.88702335,63250.29,63235.61,63270.0,63196.41,2024-04-16 00:51:00,63214.759999999995,63214.759999999995,63214.759999999995,15.308535798747059
7.56150205,63235.61,63166.11,63261.88,63160.51,2024-04-16 00:50:00,63205.71833333333,63205.71833333333,63201.126000000004,8.639728188322167
4.0101695,63159.92,63192.55,63226.44,63159.92,2024-04-16 00:49:00,63199.17571428571,63199.17571428571,63189.596,8.578313253007195
4.38043578,63196.87,63166.33,63225.08,63161.55,2024-04-16 00:48:00,63194.4725,63194.4725,63179.504,10.339123242349359
5.65183867,63170.16,63084.0,63209.66,63084.0,2024-04-16 00:47:00,63182.19777777778,63182.19777777778,63152.478,5.395239856949061
12.52281299,63084.37,62972.07,63084.37,62951.9,2024-04-16 00:46:00,63159.168000000005,63159.168000000005,63103.576,2.9733587059943005
18.3364105,62972.07,63080.21,63088.32,62950.67,2024-04-16 00:45:00,63131.36699999999,63140.21363636363,63061.60800000001,2.960982707860964
10.25546083,63080.22,63127.12,63160.74,63066.99,2024-04-16 00:44:00,63116.308999999994,63134.111666666664,63043.022,30.369327149551808
18.608884,63116.19,63104.96,63135.74,63100.01,2024-04-16 00:43:00,63105.109,63131.48846153846,63030.714,35.53782173766476
18.55397882,63105.62,63165.62,63174.05,63097.67,2024-04-16 00:42:00,63092.963,63129.072857142855,63033.448,35.351863860998776
7.00532586,63154.24,63098.94,63193.24,63098.94,2024-04-16 00:41:00,63083.21599999999,63127.064,63062.85599999999,35.53494180083017
8.13059508,63098.95,63127.12,63128.43,63062.52,2024-04-16 00:40:00,63073.416999999994,63123.03,63085.226,33.63657470924744
2.82029866,63123.23,63119.72,63127.12,63078.74,2024-04-16 00:39:00,63065.299,63120.42470588235,63087.576,36.24465867101563
12.35672988,63119.8,63192.81,63196.0,63067.09,2024-04-16 00:38:00,63055.853,63117.46166666667,63080.99199999999,34.452715968587185
5.62545523,63193.24,63329.05,63343.43,63152.64,2024-04-16 00:37:00,63062.71699999999,63119.313157894736,63091.986,46.03381721307009
2.13565274,63329.06,63398.44,63398.45,63322.3,2024-04-16 00:36:00,63099.757,63129.4625,63136.65800000001,61.80001458682748
6.10826473,63401.98,63351.13,63408.66,63305.87,2024-04-16 00:35:00,63135.277,63137.86285714286,63185.328,60.40433995352065
14.01017874,63354.98,63299.92,63418.59,63299.92,2024-04-16 00:34:00,63158.57000000001,63145.229090909095,63229.564,59.80360204616545
23.46965727,63300.0,63238.77,63361.25,63234.91,2024-04-16 00:33:00,63172.06,63149.12826086956,63263.128000000004,60.88549706421206
4.93086364,63241.78,63265.91,63274.99,63222.14,2024-04-16 00:32:00,63184.507,63152.17041666667,63277.028000000006,73.54663320786129
3.3366996,63246.6,63272.01,63292.61,63236.62,2024-04-16 00:31:00,63198.275,63155.5484,63259.89200000001,74.3531656134484
2.42545849,63282.16,63308.0,63322.79,63264.59,2024-04-16 00:30:00,63218.482,63159.74230769231,63251.636,69.80992100092111
7.37641934,63298.53,63258.82,63344.68,63256.32,2024-04-16 00:29:00,63236.240000000005,63163.31925925926,63242.916000000005,66.4887444882794
10.71626322,63260.0,63333.84,63356.97,63260.0,2024-04-16 00:28:00,63255.531,63166.772142857146,63247.933999999994,67.07550543832666
4.36295775,63330.5,63358.87,63369.62,63312.25,2024-04-16 00:27:00,63271.492000000006,63171.78862068966,63265.956000000006,70.26467291140133
14.52783284,63358.13,63349.98,63386.0,63300.0,2024-04-16 00:26:00,63269.262,63176.062333333335,63278.632000000005,73.64679173138965
18.32582607,63358.06,63526.09,63526.09,63347.66,2024-04-16 00:25:00,63273.441000000006,63181.59774193548,63295.246,75.199595187226
8.00540433,63526.09,63594.11,63597.81,63502.07,2024-04-16 00:24:00,63293.655999999995,63191.6125,63344.39599999999,82.1569033326434
55.33588296,63595.46,63527.64,63654.82,63510.0,2024-04-16 00:23:00,63321.165,63201.26060606061,63394.39599999999,79.8436664885088
3.90062318,63536.27,63470.02,63575.0,63446.0,2024-04-16 00:22:00,63343.551,63208.458823529414,63421.14599999999,62.5441122784243
4.57747816,63481.55,63487.66,63519.4,63428.96,2024-04-16 00:21:00,63362.78500000001,63214.75885714286,63446.938,62.46683006866905
5.66773291,63483.16,63411.35,63487.47,63386.86,2024-04-16 00:20:00,63375.012,63219.53944444444,63454.778000000006,58.20467328526703
12.3898365,63409.0,63537.0,63537.48,63386.24,2024-04-16 00:19:00,63388.004,63224.04486486487,63431.612,66.2570096469925
6.46052353,63538.14,63659.97,63659.99,63528.01,2024-04-16 00:18:00,63414.80500000001,63232.04394736842,63435.214,75.7280083441282
8.69749644,63659.99,63695.6,63747.98,63657.0,2024-04-16 00:17:00,63449.280000000006,63242.94025641026,63477.414000000004,79.64848929387539
3.62764467,63702.11,63678.78,63720.53,63641.2,2024-04-16 00:16:00,63483.4,63252.89675,63519.862,77.0254172826039
9.73259113,63677.15,63606.55,63700.0,63572.01,2024-04-16 00:15:00,63505.835,63260.68,63556.89199999999,70.83239847431017
5.45258147,63606.5,63577.46,63607.62,63549.68,2024-04-16 00:14:00,63510.596000000005,63267.560952380954,63589.58,68.6567740938248
15.59366486,63574.01,63519.28,63598.8,63510.0,2024-04-16 00:13:00,63510.596000000005,63273.19906976744,63585.978,62.9456511777105
6.14772162,63524.56,63448.89,63539.28,63417.79,2024-04-16 00:12:00,63507.775,63276.48522727273,63538.136,56.980313607433686
7.13518684,63449.99,63359.68,63504.4,63349.9,2024-04-16 00:11:00,63499.86899999999,63278.11666666667,63479.876000000004,50.12963563127911
1.17858791,63359.69,63354.23,63369.24,63323.47,2024-04-16 00:10:00,63493.52999999999,63279.102608695655,63430.168000000005,37.86651811190537
1.22319642,63354.23,63328.0,63360.04,63328.0,2024-04-16 00:09:00,63487.70599999999,63280.14297872341,63385.83200000001,37.57814846160149
10.72365035,63328.0,63351.38,63392.44,63303.43,2024-04-16 00:08:00,63465.248,63280.628124999996,63344.518000000004,39.715790232994344
2.83622691,63359.68,63405.36,63407.67,63340.0,2024-04-16 00:07:00,63433.547999999995,63281.839795918364,63328.96,43.75876971431785
4.21452167,63407.85,63441.82,63441.82,63372.6,2024-04-16 00:06:00,63406.688,63283.655,63333.5,48.98603487016112
7.2976342,63434.85,63492.8,63524.25,63423.21,2024-04-16 00:05:00,63391.808,63287.5456,63353.448,52.45429318746108
3.896304,63492.82,63392.89,63510.2,63391.37,2024-04-16 00:04:00,63375.97699999999,63291.0216,63366.121999999996,39.37876997699137
9.77521761,63392.88,63450.12,63450.12,63370.96,2024-04-16 00:03:00,63362.073,63294.200600000004,63379.628000000004,23.250289903863873
3.86450556,63460.21,63347.29,63469.75,63342.57,2024-04-16 00:02:00,63354.551,63296.66939999999,63380.14200000001,22.715395157606096
4.83884214,63348.13,63357.83,63394.84,63326.95,2024-04-16 00:01:00,63352.25600000001,63299.28020000001,63371.012,25.18027872305899
21.40992605,63359.28,63452.18,63472.68,63340.46,2024-04-16 00:00:00,63353.955,63302.879199999996,63354.462,28.42469991337697
2.33671695,63452.18,63423.92,63452.18,63420.07,2024-04-15 23:59:00,63363.162,63308.0822,63360.202000000005,41.43181081956591
