volume,low,high,open,close,time,Fast_MA,Medium_MA,Slow_MA,RSI
8.01554192,64034.01,64099.45,64109.44,64025.58,2024-04-17 00:55:00,64025.58,64025.58,64063.590000000004,100.0
1.88414648,64099.45,64100.26,64121.94,64072.25,2024-04-17 00:54:00,64048.915,64048.915,64063.590000000004,100.0
2.04179006,64100.75,64080.23,64121.95,64074.73,2024-04-17 00:53:00,64057.52,64057.52,64063.590000000004,100.0
3.19603928,64074.61,64109.04,64118.0,64035.39,2024-04-17 00:52:00,64051.9875,64051.9875,64063.590000000004,55.54299920894852
5.09052471,64111.48,64205.98,64209.99,64110.0,2024-04-17 00:51:00,64063.590000000004,64063.590000000004,64063.590000000004,75.8798283261788
23.84391867,64205.98,64150.41,64283.37,64140.75,2024-04-17 00:50:00,64076.450000000004,64076.450000000004,64086.623999999996,79.70595821511344
14.62166417,64151.82,64109.04,64179.54,64097.0,2024-04-17 00:49:00,64079.385714285716,64079.385714285716,64091.574,65.02946127946055
7.39680975,64105.73,63999.37,64110.01,63968.39,2024-04-17 00:48:00,64065.51125,64065.51125,64070.306000000004,42.1916386772615
17.35534115,64005.36,63928.18,64006.56,63916.72,2024-04-17 00:47:00,64048.978888888894,64048.978888888894,64046.572,36.974729587441445
10.93845897,63925.67,63837.72,63934.93,63837.72,2024-04-17 00:46:00,64027.853,64027.853,63992.116,31.096039285139383
5.66713116,63842.0,63835.78,63857.9,63824.8,2024-04-17 00:45:00,64007.775,64009.39363636363,63928.926,30.3079639074149
3.04469686,63837.16,63810.82,63844.79,63810.82,2024-04-17 00:44:00,63981.632000000005,63992.84583333333,63871.69,29.49902630875563
0.78887391,63810.83,63837.73,63849.37,63810.82,2024-04-17 00:43:00,63955.240999999995,63978.843846153846,63840.176,29.49902630875563
2.46640697,63839.95,63787.15,63846.36,63782.98,2024-04-17 00:42:00,63930.0,63964.85357142857,63813.428,28.010224429861367
3.62902744,63786.34,63757.72,63813.68,63749.89,2024-04-17 00:41:00,63893.989,63950.522666666664,63795.862,26.425065417044408
0.57521709,63757.78,63768.61,63772.91,63737.91,2024-04-17 00:40:00,63853.705,63937.234375,63778.484,19.606559761463757
5.67392301,63764.4,63750.18,63801.57,63734.77,2024-04-17 00:39:00,63817.482,63925.324705882354,63763.274,19.132708651122087
0.57035834,63750.18,63726.74,63750.22,63726.74,2024-04-17 00:38:00,63793.317,63914.292222222226,63746.458000000006,20.28611587115161
0.56684278,63730.28,63733.66,63734.61,63717.38,2024-04-17 00:37:00,63773.382999999994,63903.928421052624,63733.338,6.771337972342067
1.1579936,63733.74,63727.4,63740.7,63722.06,2024-04-17 00:36:00,63761.816999999995,63894.835,63727.772,1.0933302184324702
2.78111179,63727.46,63739.41,63754.0,63701.96,2024-04-17 00:35:00,63749.53300000001,63885.65047619047,63720.58200000001,1.1572700296736684
2.71106513,63739.17,63731.01,63788.52,63716.29,2024-04-17 00:34:00,63740.079999999994,63877.95227272727,63716.886,6.552461050600385
